feedback_id,feedback,title,rating,created_at,channel,product_area,source_dataset
DRUG-64754,"""I was on Kariva for about three years. I took it because I am prone to migraines. The pill was great for regulating and lessening my menstruation cycle, however it did nothing to alleviate my migraines. I recently have switched to an IUD which has done the same but no migraines.""",Desogestrel / ethinyl estradiol — Polycystic Ovary Syndrome,3.0,2013-04-17,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-143626,"""Have been using Fentanyl for over 3 years now, and wonder what kind of shape I would be in if I hadn't been offered this medicine. It is definitely working for me and I am so glad I was a candidate for it.""",Fentanyl — Chronic Pain,5.0,2014-03-08,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-110465,"""I took Plan B approximately 30 hours after unprotected sex. It did -not- work. Took an at home pregnancy test 4 weeks later after my period never surfaced, the test was POSITIVE. I am now in the middle of going through a very painful miscarriage. Physically and mentally. Just sharing my experience to serve as a warning.""",Plan B One-Step — Emergency Contraception,1.0,2015-09-08,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-46463,"""In the beginning I thought this form of birth control was great. I didn't have mood swings and didn't have a period. After using this for a while I gained about 20-30 lbs and had the hardest time losing it. """,Depo-Provera — Birth Control,1.0,2011-12-02,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-144539,"""Abreva was a god-send. I  to apply at the first tingle and cold sore would not even develop . 
 Fast forward a couple of years , (about 1-2 sores tried to come out per year but I was successful in full stop) Abreva no longer works. 
It even appears to spread the blisters? I no longer feel the numbing sensation that I used to from the abreva cream. 
I'm so disappointed ! I feel like I may have become immune to the cream or else the formula has changed.""",Docosanol — Herpes Simplex,1.5,2017-07-12,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-131602,"""I recently had to switch to Avaine after finding out that my health insurance (Blue Cross) refused to continue to cover the cost of Alesse after the first 3 months. I've only been using Avaine for a little over a week. So far I don't see any problems except I've been breaking out more than I should since I'm on birth control. Other than that I think it's fine.""",Aviane — Birth Control,4.0,2009-03-28,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-91351,"""I have been using the ring for a few months now as an alternative to Ortho Evra (the patch). I was tired of the patch coming off, getting stuck to my clothing, and causing skin irritation. I like the ease of use of the ring and being able to forget about it for three weeks. However, I have experienced a very noticable decrease in my desire to have sex as well as vaginal irritation (itching and discharge). I tend to take it out before sex also because certain positions caused pain with it in. I'm still debating getting off of this birth control because of the side effects.""",NuvaRing — Birth Control,3.5,2011-03-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-84010,"""I just started Bydureon a few days ago.  The needle was intimidating and while I did not get any lumps (so far) at the injection sight on my thigh, I bled a lot and bruised.  
Within an hour of my injection, I experienced heart palpitations, dizziness and extreme lethargy.  Then, the extreme vomiting started.  I vomited every 2 hours for 12 hours straight, it was terrible.  The next day, I was just a little nauseous but okay.  Now, I experience queasiness and loss of appetite.  I am nervous to take my next injection due to the extreme vomiting.  I am hoping the results are worth it.""","Exenatide — Diabetes, Type 2",1.5,2017-03-29,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-43217,"""I am taking this medicine for Borderline Personality disorder. It has helped a lot of my symptoms. I have been sleeping better, my moods are much better, my &quot;splitting&quot; has even gotten better. It is definitely making me less depressed, too. I recommend this medicine for anyone with these symptoms or other mental conditions. My thigh has varicose veins and that has gotten better which is a bonus because I'm not taking it for pain. I really think this drug needs to be approved for Bipolar disorder (though I don't have it) and Borderline Personality Disorder. I hope I never have to quit taking it.""",Gabapentin — Bipolar Disorde,5.0,2016-01-22,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-89494,"""This was absolutely horrible. Terrible acne, abdominal swellings, and feeling very isolated and depressed. Kept it for 6 weeks. My doctor wanted me to keep it for another 6 weeks but I couldn't take it anymore. After removal I felt almost immediate relief and mentally much better.""",Skyla — Birth Control,1.0,2016-09-14,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-93611,"""I went from pain to feeling pain free within an hour.""",Endocet — Chronic Pain,5.0,2013-09-24,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-55379,"""My husband suffered from toe nail fungus since I met him for years. One day he was given free samples of lamisil for a three month period. He took it and his toe nails miraculously cured! From super yellow nails that were impossible to cut to natural healthy nails. He worked in construction so wearing steel toe shoes did not helped. He got some back but after ten years, due to his job. It was not contagious though. I worked at Home Depot for a year and wore steel toe boots for protection and noticed a bit of fungus growing on my big toe!,  I requested lamisil and the Dr. Was reluctant to prescribe it for the possible side effects, all bodies are different so let's see what happens. I don't believe in topical antifungal!""","Terbinafine — Onychomycosis, Toenail",5.0,2017-10-10,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-104161,"""Made my depression and anxiety worse, which I wasn't expecting as this drug seems so well tolerated by others.  My maximum dose was 50mg bd (50mg twice daily).
I just wanted to make people aware that this can happen.
On the plus side, it did get rid of my visual migraines.""",Lamotrigine — Depression,1.5,2017-02-13,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
