feedback_id,feedback,title,author_codes,channel,product_area,source_dataset
Q3explainR_1I3N3GULf9vno6R,"The cited paper ([name] et al.) was used to describe observations that formed a very small portion of a comprehensive review article that I wrote. Moreover, I also cited a paper from a different group (citation below) that came to the same overall conclusion as the [name] paper. Therefore, while PubPeer rightly identified concerns with the [name] paper, I do not think it has a major impact on the review article I wrote. I will be happy to hear from you if you disagree with this assessment and would like to discuss this further.

[reference]",Explain PubPeer concern / citation context — cit1_1,ANONYMISED; review-article; no-serious-consequence; misunderstood-question; relevant-comment,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8315pwVyyconpQ4,"The paper is on automated cell tracking. 
I cannot judge if the cited paper has an error, as it is cited as an example where cell tracking is used: [literal quote from their article about tumor cell migration followed by 4 references] and [literal quote from their article that tracking is often manually followed by 5 references]",Explain PubPeer concern / citation context — cit2_1,ANONYMISED; citation-reasons; uncertain,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8OqSi5Svr4uBsI1,"There is clearly an error of image duplication. I believe this was not intentional. Most importantly, this issue does not alter the main conclusions of the article, which have been independently confirmed by studies from other research groups. see [reference
or  [another reference]",Explain PubPeer concern / citation context — cit3_1,ANONYMISED; error-duplication; intent; reproducibility; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_8CE0D6Fxy96Ps1f,"The overall conclusion of the paper we cited concerns evidence that they had made transgenic insect resistant plants. Transgenic insect resistance is on the margins of our expertise. 
The data they duplicated in this critique is supporting rather than central which - of course - COULD be fabricated since it is quantitative data describing the outcome interactions and this is independent of the duplicated microscopy.
Interestingly, a more recent review by [name] et al [year and doi] does not cite these controversial papers, but supports the comment/conclusions we made 7 years earlier.",Why not use PubPeer (other) — cit4_2,ANONYMISED; expertise; fraud; uncertain; no-serious-consequence; reproducibility,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2JRwSgbwIV6oZvs,"It was no error, the issue was caused by intentional actions by [name], who had fabricated results in several publications, including the one cited. You may notice that [name] was the first author of the citing paper; fortunately, this paper did not contain any experimental results, so the were was no way results could have been fabricated.",Explain PubPeer concern / citation context — cit5_1,ANONYMISED; fraud; fraud-not-error; intent,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2V4FXat0zWvWywm,"Your contributor made an absolutely useless technical comment on a detail that has nothing to do with the topic of the article, the context of the article, the results of the article, the conclusions of the article, and the outlook of the article. This is a complete waste of time. It seems to me that you do not even check the quality, the competence and the state of the mind of your contributors. If I received in my e-mail or on my telephone a message from someone calling himself or herself [latin name as used by anonymous/pseudonymous pubpeer users], I would just throw it into the bin.",Explain PubPeer concern / citation context — cit6_1,ANONYMISED; to-be-discussed-group; irrelevant-comment; anonymity; pubpeer-control; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_5QyoDLmXtKH8cdH,"It seems like a western blot was manipulated, but I'm not sure exactly what information the figure was purporting to impart. I cited the paper because it was the origin of the idea that co-expression of [gene name] improved expression of recombinant proteins in plants. I confirmed from experience in our lab that this is indeed the case.",Explain PubPeer concern / citation context — cit7_1,ANONYMISED; no-serious-consequence; fraud; uncertain; citation-reasons,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_3n18quzyEvd3p6c,"If you go to [name]'s webpage, he thoroughly addresses the multiple criticisms of his published papers. The example focused upon in this survey seems to be a case of false criticism where an analysis of the digital history of data initially collected by analog processing leads to a spurious claim of fraud or error.",Final open comment — cit8_5,ANONYMISED; pubpeer-misuse; correction-done; irrelevant-comment,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_1BXHKSedTvGBuhz,"The conclusions from the retracted paper are not an essential part of our findings, which focused on the biochemistry of the CtBP complex. That being said, we have always been suspicious of the [name] & [name] claims (including the [journal name] paper) that CtBP is differentially regulated by NAD/NADH, for reasons outlined in [name] et al., which solved the CtBP structure and found no difference in binding of the two ligands.",Why not use PubPeer (other) — cit9_2,ANONYMISED; retraction/retracted; no-serious-consequence,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2SH2pijWeAcCjJn,"My impression is that certain data in the paper in question ([name] et al.) may be fabricated. Whether ""error"" is the correct designation, I'm not sure.",Explain PubPeer concern / citation context — cit10_1,ANONYMISED; fraud; uncertain,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
