Code;Code definition;Example from data
accumulation-of-issues;when they mention they interpret an accumulation of issues differently from just one single issue;"I would be for ""an error"" if only one instance would have been noted but there is more."
action-change-methods;when the respondents will change their methods in response to the comment;We stopped using template illustrations. Templates were used routinely in earlier literature with GC MS
action-communicate-journal;when the respondent will communicate to the journal about this issue;Communicated with the editor and the journal to solve or modify the errors in officially.
action-data;when the respondent will change how they use or store data;I have sent raw data to the editor that requested it.
action-inform-institution;when the respondent will inform the institution;I reported the comment to my University’s Research Integrity Committee.
action-not-cite;when the respondent will not cite this article in the future;However, I will avoid citing this paper in the future.
action-other;when the respondent will do something; checking all references in PeerPub before citing one is a good idea, and I will try to do this from now on.
action-stop-pubpeer;when the respondent will stop using PubPeer;I have completely disengaged from PubPeer after the initial comments. Arguing with internet trolls is a pointless exercise.
action-talk-conf;when the respondent will give a conference talk about the issue reported on PubPeer;I asked for the spot of [name] at the [name of conference] conference to present my work and warn the field about his fabricated data inducing wrong conclusions.
action-write-comment;when the respondent will write a comment on PubPeer;I run the PubPeer plug-in on my browser, I frequently visit the PubPeer site, and I have posted concerns regarding other publications.
action-write-paper;when the respondent will write a paper;I have also authored the PubPeer comment and have extended upon it in the later paper.
AI;when AI is mentioned;The allegations were speculative and the AI-algorithms were practiced on publications that were dated 15-20 years ago.
anonymity;when anonymity of PubPeer commenters in mentioned positive or negative;I greatly appreciate the comments on PubPeer but I would also appreciate concerns/criticisms associated with comments found in PPRR with non anonymous experts in the same field
aware-of-pb;when the respondent is aware of the problem;When I wrote my article, I was aware of the doubts that the PPPR review had raised in the scientific community. For this reason, a critical comparative source was expressly cited in the discussion, and an independent analysis of the data was called for.
citation-reasons;when the respondent explains their reasons for citing the paper;"Probably like many others, we cited that paper as its one of the recommended references for the drug TH-302; however, the activity of that drug has been established across dozens of papers and clinical trials so the duplicated hoechst stain control panels don't materially impact the conclusion of the paper."
consequence-epistemic;when the issue mentioned on PubPeer has consequences for the knowledge claim(s);Unfortunately, this is a paper that was published in 2006. Many scientists have used this data to build their research. This is really disappointing and frustrating.
consequence-psychological;including stress;which caused distress to both myself, but more importantly also to junior colleagues
consequence-reputation;including feeling uncomfortable to comment publicly;This platform is disgusting, most of the comments are useless and seems just trying to harm the authors reputation
constructive;including should be constructive;Constructive peer feedback post publication is valuable for subsequent research planning. To be valid the comment must be attributable though to encourage constructive dialogue.
contacting-authors;about should contact the authors, if they contacted the authors it should be under action-other;I abhor the fact that many people post on PubPeer anonymously. If someone finds fault with a publication, the correct route is to contact the authors.
